idx,method,min_cluster_size,silhouette,calinski_harabasz,davies_bouldin
28,minibatch,75000,3,0.6025437116622925,2715905.5,0.6374047760141903
29,minibatch,75000,5,0.5088821649551392,2419062.5,0.7018046965420982
30,minibatch,75000,10,0.28554001450538635,2892986.75,0.9018048685257917
31,minibatch,75000,15,0.2816515564918518,2785384.0,0.9095257083334753
32,minibatch,75000,20,0.291723370552063,2783280.5,0.942411298801216
33,minibatch,75000,25,0.26948150992393494,1938936.5,1.052490976606754
34,minibatch,75000,30,0.23909638822078705,2711261.0,1.0571163321543404
35,minibatch,100000,3,0.6505498290061951,2807625.25,0.5623326327071602
36,minibatch,100000,5,0.27611061930656433,2647223.75,0.9371969991214504
37,minibatch,100000,10,0.3077956438064575,2749523.75,0.914437190941744
38,minibatch,100000,15,0.2871009111404419,2761546.75,0.9281223518667839
39,minibatch,100000,20,0.27443626523017883,2206490.5,1.0132478463345593
40,minibatch,100000,25,0.28103774785995483,2794910.75,0.9187210732298164
41,minibatch,100000,30,0.2528119683265686,2564077.0,1.0472461388648697
0,gmm,3,0.30411094427108765,481445.59375,1.2364640738797419
1,gmm,5,0.12491074204444885,307457.34375,2.125955049652413
2,gmm,10,0.13313451409339905,412787.78125,1.8307818125743336
3,gmm,15,0.055791355669498444,334256.5625,2.7751398195674195
4,gmm,20,0.05939995497465134,387792.96875,6.553838892197348
5,gmm,25,0.008525635115802288,316394.75,2.382678205996988
6,gmm,30,0.016055336222052574,297461.84375,4.335367188189481
0,birch,3,1.0,0.8668601512908936,1714523.625,0.43930170536957824
1,birch,3,2.5,0.8872606754302979,1370897.625,0.3953070565512829
2,birch,3,5.0,0.8884963393211365,1323639.125,0.3899544025718296
3,birch,3,7.5,,,
4,birch,3,10.0,,,
5,birch,5,1.0,0.5708534121513367,1348931.375,0.6153031939782705
6,birch,5,2.5,0.724232017993927,2015768.25,0.46544500675783923
7,birch,5,5.0,0.7614723443984985,1187481.125,0.47957155507196286
8,birch,5,7.5,,,
9,birch,5,10.0,,,
10,birch,10,1.0,0.345782607793808,668067.125,0.7065959761796277
11,birch,10,2.5,0.5407804846763611,1422623.375,0.7631862188236991
12,birch,10,5.0,0.6603485345840454,1473171.5,0.6192101089378739
13,birch,10,7.5,,,
14,birch,10,10.0,,,
15,birch,15,1.0,0.46566253900527954,1044254.3125,0.6923193870917024
16,birch,15,2.5,0.5016056895256042,974372.9375,0.8658976820123852
17,birch,15,5.0,0.5127505660057068,1372461.0,0.7043380464108029
18,birch,15,7.5,,,
19,birch,15,10.0,,,
20,birch,20,1.0,0.38820821046829224,786090.8125,0.7865132740220431
21,birch,20,2.5,0.46293213963508606,786596.5625,0.8319923125252414
22,birch,20,5.0,0.5127505660057068,1372461.0,0.7043380464108029
23,birch,20,7.5,,,
24,birch,20,10.0,,,
25,birch,25,1.0,0.3867003917694092,846732.5625,0.8364459782139566
26,birch,25,2.5,0.4904460906982422,1132250.25,0.7566777002368714
27,birch,25,5.0,0.5127505660057068,1372461.0,0.7043380464108029
28,birch,25,7.5,,,
29,birch,25,10.0,,,
30,birch,30,1.0,0.38603660464286804,708512.125,0.8659475589638915
31,birch,30,2.5,0.48665475845336914,942497.625,0.750494377929489
32,birch,30,5.0,0.5127505660057068,1372461.0,0.7043380464108029
33,birch,30,7.5,,,
34,birch,30,10.0,,,
5,hdbscan,50,0.7643781304359436,32695.2109375,1.2341288285712622
6,hdbscan,100,0.7977725863456726,25227.279296875,4.6413944601985015
7,hdbscan,150,0.8762121796607971,38049.171875,3.7734509814853436
8,hdbscan,200,0.8610759377479553,44440.53515625,1.8616194032226019
12,optics,100,0.3,0.3573281764984131,344.1363830566406,0.4378867757536341
13,optics,100,0.4,0.6320589184761047,636.504638671875,0.2599734029427767
14,optics,150,0.3,,,
15,optics,150,0.4,,,
16,optics,200,0.3,,,
17,optics,200,0.4,,,
7,kmeans,2,0.8816347718238831,2884109.0,0.3929496315593621
42,minibatch,5000,2,0.5738609433174133,408578.1875,0.7571866902571863
43,minibatch,10000,2,0.8822734951972961,2883348.0,0.388188863726325
44,minibatch,25000,2,0.8822734951972961,2883225.0,0.3878172617153059
45,minibatch,50000,2,0.8817425966262817,2884085.5,0.3921330129101217
46,minibatch,75000,2,0.5421541929244995,399818.0,0.8330105186990415
47,minibatch,100000,2,0.881525993347168,2884043.25,0.3944061972054083
7,gmm,2,0.15815261006355286,225878.609375,1.6717722692457926
35,birch,2,1.0,0.8771406412124634,2850043.75,0.42131466812822205
36,birch,2,2.5,0.8973792195320129,2469990.25,0.27812199419680617
37,birch,2,5.0,0.898600161075592,2397923.75,0.2701655171962562
